_REF_DATE_,GEO,DGUID,Statistic,Expenditures,UOM,VALUE
2017,Atlantic Region,2016A00011,Average expenditure per household,Food expenditures,Dollars,7725
2010,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from stores,Dollars,5516
2011,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from stores,Dollars,5657
2012,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from stores,Dollars,5437
2013,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from stores,Dollars,5378
2014,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from stores,Dollars,5843
2015,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from stores,Dollars,5892
2016,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from stores,Dollars,5971
2017,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from stores,Dollars,5766
2010,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from restaurants,Dollars,1720
2011,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from restaurants,Dollars,1828
2012,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from restaurants,Dollars,1920
2013,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from restaurants,Dollars,1765
2014,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from restaurants,Dollars,1936
2015,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from restaurants,Dollars,1932
2016,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from restaurants,Dollars,2090
2017,Atlantic Region,2016A00011,Average expenditure per household,Food purchased from restaurants,Dollars,1959
2010,Atlantic Region,2016A00011,Average expenditure per household,Shelter,Dollars,11209
2011,Atlantic Region,2016A00011,Average expenditure per household,Shelter,Dollars,11641
2012,Atlantic Region,2016A00011,Average expenditure per household,Shelter,Dollars,12479
2013,Atlantic Region,2016A00011,Average expenditure per household,Shelter,Dollars,12583
2014,Atlantic Region,2016A00011,Average expenditure per household,Shelter,Dollars,13262
2015,Atlantic Region,2016A00011,Average expenditure per household,Shelter,Dollars,13260
2016,Atlantic Region,2016A00011,Average expenditure per household,Shelter,Dollars,13482
2017,Atlantic Region,2016A00011,Average expenditure per household,Shelter,Dollars,13674
2010,Atlantic Region,2016A00011,Average expenditure per household,Principal accommodation,Dollars,10323
2011,Atlantic Region,2016A00011,Average expenditure per household,Principal accommodation,Dollars,10687
2012,Atlantic Region,2016A00011,Average expenditure per household,Principal accommodation,Dollars,11166
2013,Atlantic Region,2016A00011,Average expenditure per household,Principal accommodation,Dollars,11434
2014,Atlantic Region,2016A00011,Average expenditure per household,Principal accommodation,Dollars,11964
2015,Atlantic Region,2016A00011,Average expenditure per household,Principal accommodation,Dollars,11947
2016,Atlantic Region,2016A00011,Average expenditure per household,Principal accommodation,Dollars,12064
2017,Atlantic Region,2016A00011,Average expenditure per household,Principal accommodation,Dollars,12278
2010,Atlantic Region,2016A00011,Average expenditure per household,Rented living quarters,Dollars,1818
2011,Atlantic Region,2016A00011,Average expenditure per household,Rented living quarters,Dollars,1981
2012,Atlantic Region,2016A00011,Average expenditure per household,Rented living quarters,Dollars,2216
2013,Atlantic Region,2016A00011,Average expenditure per household,Rented living quarters,Dollars,2181
2014,Atlantic Region,2016A00011,Average expenditure per household,Rented living quarters,Dollars,2352
2015,Atlantic Region,2016A00011,Average expenditure per household,Rented living quarters,Dollars,2384
2016,Atlantic Region,2016A00011,Average expenditure per household,Rented living quarters,Dollars,2319
2017,Atlantic Region,2016A00011,Average expenditure per household,Rented living quarters,Dollars,2486
2010,Atlantic Region,2016A00011,Average expenditure per household,Owned living quarters,Dollars,5831
2011,Atlantic Region,2016A00011,Average expenditure per household,Owned living quarters,Dollars,5959
2012,Atlantic Region,2016A00011,Average expenditure per household,Owned living quarters,Dollars,6100
2013,Atlantic Region,2016A00011,Average expenditure per household,Owned living quarters,Dollars,6291
2014,Atlantic Region,2016A00011,Average expenditure per household,Owned living quarters,Dollars,6487
2015,Atlantic Region,2016A00011,Average expenditure per household,Owned living quarters,Dollars,6447
2016,Atlantic Region,2016A00011,Average expenditure per household,Owned living quarters,Dollars,6799
2017,Atlantic Region,2016A00011,Average expenditure per household,Owned living quarters,Dollars,6854
2010,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total expenditure,Dollars,62430
2011,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total expenditure,Dollars,66377
2012,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total expenditure,Dollars,70193
2013,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total expenditure,Dollars,75489
2014,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total expenditure,Dollars,77339
2015,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total expenditure,Dollars,78154
2016,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total expenditure,Dollars,79831
2017,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total expenditure,Dollars,80786
2010,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total current consumption,Dollars,47063
2011,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total current consumption,Dollars,50430
2012,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total current consumption,Dollars,52792
2013,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total current consumption,Dollars,55834
2014,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total current consumption,Dollars,57717
2015,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total current consumption,Dollars,57112
2016,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total current consumption,Dollars,58248
2017,Newfoundland and Labrador,2016A000210,Average expenditure per household,Total current consumption,Dollars,58364
2010,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food expenditures,Dollars,7591
2011,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food expenditures,Dollars,7749
2012,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food expenditures,Dollars,7830
2013,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food expenditures,Dollars,7939
2014,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food expenditures,Dollars,8489
2015,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food expenditures,Dollars,8264
2016,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food expenditures,Dollars,8938
2017,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food expenditures,Dollars,7773
2010,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from stores,Dollars,5925
2011,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from stores,Dollars,5937
2012,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from stores,Dollars,6125
2013,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from stores,Dollars,5988
2014,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from stores,Dollars,6606
2015,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from stores,Dollars,6352
2016,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from stores,Dollars,6758
2017,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from stores,Dollars,6047
2010,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from restaurants,Dollars,1666
2011,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from restaurants,Dollars,1812
2012,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from restaurants,Dollars,1705
2013,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from restaurants,Dollars,1951
2014,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from restaurants,Dollars,1883
2015,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from restaurants,Dollars,1912
2016,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from restaurants,Dollars,2180
2017,Newfoundland and Labrador,2016A000210,Average expenditure per household,Food purchased from restaurants,Dollars,1727
2010,Newfoundland and Labrador,2016A000210,Average expenditure per household,Shelter,Dollars,10502
2011,Newfoundland and Labrador,2016A000210,Average expenditure per household,Shelter,Dollars,10809
2012,Newfoundland and Labrador,2016A000210,Average expenditure per household,Shelter,Dollars,12247
2013,Newfoundland and Labrador,2016A000210,Average expenditure per household,Shelter,Dollars,12479
2014,Newfoundland and Labrador,2016A000210,Average expenditure per household,Shelter,Dollars,13087
2015,Newfoundland and Labrador,2016A000210,Average expenditure per household,Shelter,Dollars,13222
2016,Newfoundland and Labrador,2016A000210,Average expenditure per household,Shelter,Dollars,13816
2017,Newfoundland and Labrador,2016A000210,Average expenditure per household,Shelter,Dollars,14411
2010,Newfoundland and Labrador,2016A000210,Average expenditure per household,Principal accommodation,Dollars,9680
2011,Newfoundland and Labrador,2016A000210,Average expenditure per household,Principal accommodation,Dollars,9847
2012,Newfoundland and Labrador,2016A000210,Average expenditure per household,Principal accommodation,Dollars,10584
2013,Newfoundland and Labrador,2016A000210,Average expenditure per household,Principal accommodation,Dollars,11200
2014,Newfoundland and Labrador,2016A000210,Average expenditure per household,Principal accommodation,Dollars,11707
2015,Newfoundland and Labrador,2016A000210,Average expenditure per household,Principal accommodation,Dollars,11622
2016,Newfoundland and Labrador,2016A000210,Average expenditure per household,Principal accommodation,Dollars,12384
2017,Newfoundland and Labrador,2016A000210,Average expenditure per household,Principal accommodation,Dollars,12678
2010,Newfoundland and Labrador,2016A000210,Average expenditure per household,Rented living quarters,Dollars,1527
2011,Newfoundland and Labrador,2016A000210,Average expenditure per household,Rented living quarters,Dollars,1610
2012,Newfoundland and Labrador,2016A000210,Average expenditure per household,Rented living quarters,Dollars,1939
2013,Newfoundland and Labrador,2016A000210,Average expenditure per household,Rented living quarters,Dollars,1829
2014,Newfoundland and Labrador,2016A000210,Average expenditure per household,Rented living quarters,Dollars,1617
2015,Newfoundland and Labrador,2016A000210,Average expenditure per household,Rented living quarters,Dollars,1894
2016,Newfoundland and Labrador,2016A000210,Average expenditure per household,Rented living quarters,Dollars,2001
2017,Newfoundland and Labrador,2016A000210,Average expenditure per household,Rented living quarters,Dollars,1981
2010,Newfoundland and Labrador,2016A000210,Average expenditure per household,Owned living quarters,Dollars,5488
2011,Newfoundland and Labrador,2016A000210,Average expenditure per household,Owned living quarters,Dollars,5469
2012,Newfoundland and Labrador,2016A000210,Average expenditure per household,Owned living quarters,Dollars,5732
2013,Newfoundland and Labrador,2016A000210,Average expenditure per household,Owned living quarters,Dollars,6384
2014,Newfoundland and Labrador,2016A000210,Average expenditure per household,Owned living quarters,Dollars,6880
2015,Newfoundland and Labrador,2016A000210,Average expenditure per household,Owned living quarters,Dollars,6614
2016,Newfoundland and Labrador,2016A000210,Average expenditure per household,Owned living quarters,Dollars,7386
2017,Newfoundland and Labrador,2016A000210,Average expenditure per household,Owned living quarters,Dollars,7680
2010,Prince Edward Island,2016A000211,Average expenditure per household,Total expenditure,Dollars,59534
2011,Prince Edward Island,2016A000211,Average expenditure per household,Total expenditure,Dollars,61328
2012,Prince Edward Island,2016A000211,Average expenditure per household,Total expenditure,Dollars,67346
2013,Prince Edward Island,2016A000211,Average expenditure per household,Total expenditure,Dollars,63348
2014,Prince Edward Island,2016A000211,Average expenditure per household,Total expenditure,Dollars,68358
2015,Prince Edward Island,2016A000211,Average expenditure per household,Total expenditure,Dollars,68441
2016,Prince Edward Island,2016A000211,Average expenditure per household,Total expenditure,Dollars,68278
2017,Prince Edward Island,2016A000211,Average expenditure per household,Total expenditure,Dollars,73455
2010,Prince Edward Island,2016A000211,Average expenditure per household,Total current consumption,Dollars,45933
2011,Prince Edward Island,2016A000211,Average expenditure per household,Total current consumption,Dollars,45928
2012,Prince Edward Island,2016A000211,Average expenditure per household,Total current consumption,Dollars,50946
2013,Prince Edward Island,2016A000211,Average expenditure per household,Total current consumption,Dollars,47449
2014,Prince Edward Island,2016A000211,Average expenditure per household,Total current consumption,Dollars,51638
2015,Prince Edward Island,2016A000211,Average expenditure per household,Total current consumption,Dollars,50994
2016,Prince Edward Island,2016A000211,Average expenditure per household,Total current consumption,Dollars,50638
2017,Prince Edward Island,2016A000211,Average expenditure per household,Total current consumption,Dollars,54983
2010,Prince Edward Island,2016A000211,Average expenditure per household,Food expenditures,Dollars,7382
2011,Prince Edward Island,2016A000211,Average expenditure per household,Food expenditures,Dollars,7276
2012,Prince Edward Island,2016A000211,Average expenditure per household,Food expenditures,Dollars,7290
2013,Prince Edward Island,2016A000211,Average expenditure per household,Food expenditures,Dollars,6978
2014,Prince Edward Island,2016A000211,Average expenditure per household,Food expenditures,Dollars,7388
2015,Prince Edward Island,2016A000211,Average expenditure per household,Food expenditures,Dollars,7546
2016,Prince Edward Island,2016A000211,Average expenditure per household,Food expenditures,Dollars,7702
2017,Prince Edward Island,2016A000211,Average expenditure per household,Food expenditures,Dollars,8250
2010,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from stores,Dollars,5516
2011,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from stores,Dollars,5329
2012,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from stores,Dollars,5536
2013,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from stores,Dollars,5527
2014,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from stores,Dollars,5499
2015,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from stores,Dollars,5930
2016,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from stores,Dollars,5743
2017,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from stores,Dollars,6099
2010,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from restaurants,Dollars,1867
2011,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from restaurants,Dollars,1946
2012,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from restaurants,Dollars,1754
2013,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from restaurants,Dollars,1450
2014,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from restaurants,Dollars,1889
2015,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from restaurants,Dollars,1616
2016,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from restaurants,Dollars,1959
2017,Prince Edward Island,2016A000211,Average expenditure per household,Food purchased from restaurants,Dollars,2151
2010,Prince Edward Island,2016A000211,Average expenditure per household,Shelter,Dollars,11605
2011,Prince Edward Island,2016A000211,Average expenditure per household,Shelter,Dollars,11621
2012,Prince Edward Island,2016A000211,Average expenditure per household,Shelter,Dollars,12542
2013,Prince Edward Island,2016A000211,Average expenditure per household,Shelter,Dollars,11722
2014,Prince Edward Island,2016A000211,Average expenditure per household,Shelter,Dollars,13128
2015,Prince Edward Island,2016A000211,Average expenditure per household,Shelter,Dollars,13071
2016,Prince Edward Island,2016A000211,Average expenditure per household,Shelter,Dollars,12787
2017,Prince Edward Island,2016A000211,Average expenditure per household,Shelter,Dollars,13846
2010,Prince Edward Island,2016A000211,Average expenditure per household,Principal accommodation,Dollars,10573
2011,Prince Edward Island,2016A000211,Average expenditure per household,Principal accommodation,Dollars,10511
2012,Prince Edward Island,2016A000211,Average expenditure per household,Principal accommodation,Dollars,11139
2013,Prince Edward Island,2016A000211,Average expenditure per household,Principal accommodation,Dollars,10895
2014,Prince Edward Island,2016A000211,Average expenditure per household,Principal accommodation,Dollars,12113
2015,Prince Edward Island,2016A000211,Average expenditure per household,Principal accommodation,Dollars,11710
2016,Prince Edward Island,2016A000211,Average expenditure per household,Principal accommodation,Dollars,11810
2017,Prince Edward Island,2016A000211,Average expenditure per household,Principal accommodation,Dollars,12105
2010,Prince Edward Island,2016A000211,Average expenditure per household,Rented living quarters,Dollars,1824
2011,Prince Edward Island,2016A000211,Average expenditure per household,Rented living quarters,Dollars,2379
2012,Prince Edward Island,2016A000211,Average expenditure per household,Rented living quarters,Dollars,2324
2013,Prince Edward Island,2016A000211,Average expenditure per household,Rented living quarters,Dollars,1917
2014,Prince Edward Island,2016A000211,Average expenditure per household,Rented living quarters,Dollars,1874
2015,Prince Edward Island,2016A000211,Average expenditure per household,Rented living quarters,Dollars,2771
2016,Prince Edward Island,2016A000211,Average expenditure per household,Rented living quarters,Dollars,2548
2017,Prince Edward Island,2016A000211,Average expenditure per household,Rented living quarters,Dollars,2295
2010,Prince Edward Island,2016A000211,Average expenditure per household,Owned living quarters,Dollars,5726
2011,Prince Edward Island,2016A000211,Average expenditure per household,Owned living quarters,Dollars,5137
2012,Prince Edward Island,2016A000211,Average expenditure per household,Owned living quarters,Dollars,5743
2013,Prince Edward Island,2016A000211,Average expenditure per household,Owned living quarters,Dollars,5531
2014,Prince Edward Island,2016A000211,Average expenditure per household,Owned living quarters,Dollars,6525
2015,Prince Edward Island,2016A000211,Average expenditure per household,Owned living quarters,Dollars,5614
2016,Prince Edward Island,2016A000211,Average expenditure per household,Owned living quarters,Dollars,6091
2017,Prince Edward Island,2016A000211,Average expenditure per household,Owned living quarters,Dollars,6676
2010,Nova Scotia,2016A000212,Average expenditure per household,Total expenditure,Dollars,61939
2011,Nova Scotia,2016A000212,Average expenditure per household,Total expenditure,Dollars,67037
2012,Nova Scotia,2016A000212,Average expenditure per household,Total expenditure,Dollars,68111
2013,Nova Scotia,2016A000212,Average expenditure per household,Total expenditure,Dollars,68795
2014,Nova Scotia,2016A000212,Average expenditure per household,Total expenditure,Dollars,70501
2015,Nova Scotia,2016A000212,Average expenditure per household,Total expenditure,Dollars,70940
2016,Nova Scotia,2016A000212,Average expenditure per household,Total expenditure,Dollars,73879
2017,Nova Scotia,2016A000212,Average expenditure per household,Total expenditure,Dollars,73018
2010,Nova Scotia,2016A000212,Average expenditure per household,Total current consumption,Dollars,46432
2011,Nova Scotia,2016A000212,Average expenditure per household,Total current consumption,Dollars,50084
2012,Nova Scotia,2016A000212,Average expenditure per household,Total current consumption,Dollars,51135
2013,Nova Scotia,2016A000212,Average expenditure per household,Total current consumption,Dollars,51806
2014,Nova Scotia,2016A000212,Average expenditure per household,Total current consumption,Dollars,52114
2015,Nova Scotia,2016A000212,Average expenditure per household,Total current consumption,Dollars,52546
2016,Nova Scotia,2016A000212,Average expenditure per household,Total current consumption,Dollars,54349
2017,Nova Scotia,2016A000212,Average expenditure per household,Total current consumption,Dollars,53732
2010,Nova Scotia,2016A000212,Average expenditure per household,Food expenditures,Dollars,7059
2011,Nova Scotia,2016A000212,Average expenditure per household,Food expenditures,Dollars,7536
2012,Nova Scotia,2016A000212,Average expenditure per household,Food expenditures,Dollars,7191
2013,Nova Scotia,2016A000212,Average expenditure per household,Food expenditures,Dollars,6999
2014,Nova Scotia,2016A000212,Average expenditure per household,Food expenditures,Dollars,7527
2015,Nova Scotia,2016A000212,Average expenditure per household,Food expenditures,Dollars,7478
2016,Nova Scotia,2016A000212,Average expenditure per household,Food expenditures,Dollars,8118
2017,Nova Scotia,2016A000212,Average expenditure per household,Food expenditures,Dollars,7693
2010,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from stores,Dollars,5385
2011,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from stores,Dollars,5673
2012,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from stores,Dollars,5227
2013,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from stores,Dollars,5237
2014,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from stores,Dollars,5646
2015,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from stores,Dollars,5588
2016,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from stores,Dollars,6026
2017,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from stores,Dollars,5692
2010,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from restaurants,Dollars,1674
2011,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from restaurants,Dollars,1863
2012,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from restaurants,Dollars,1964
2013,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from restaurants,Dollars,1762
2014,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from restaurants,Dollars,1881
2015,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from restaurants,Dollars,1889
2016,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from restaurants,Dollars,2092
2017,Nova Scotia,2016A000212,Average expenditure per household,Food purchased from restaurants,Dollars,2002
2010,Nova Scotia,2016A000212,Average expenditure per household,Shelter,Dollars,11810
