Year,Province,Sector,Use of Funds,Current dollars,Current dollars per capita
2009,Newfoundland and Labrador,Provincial Government,Hospitals,"1,031,161,590","1,995"
2010,Newfoundland and Labrador,Provincial Government,Hospitals,"1,105,290,545","2,117"
2011,Newfoundland and Labrador,Provincial Government,Hospitals,"1,154,013,770","2,198"
2012,Newfoundland and Labrador,Provincial Government,Hospitals,"1,168,009,937","2,219"
2013,Newfoundland and Labrador,Provincial Government,Hospitals,"1,173,705,178","2,227"
2014,Newfoundland and Labrador,Provincial Government,Hospitals,"1,198,004,911","2,268"
2015,Newfoundland and Labrador,Provincial Government,Hospitals,"1,230,991,937","2,331"
2016,Newfoundland and Labrador,Provincial Government,Hospitals,"1,264,319,538","2,388"
2017,Newfoundland and Labrador,Provincial Government,Hospitals,"1,259,833,223","2,383"
2018,Newfoundland and Labrador,Provincial Government,Hospitals,"1,274,530,597","2,426"
2019,Newfoundland and Labrador,Provincial Government,Hospitals,"1,247,945,220","2,390"
1975,Newfoundland and Labrador,Provincial Government,Other Institutions,"14,188,000",25
1976,Newfoundland and Labrador,Provincial Government,Other Institutions,"21,226,750",38
1977,Newfoundland and Labrador,Provincial Government,Other Institutions,"27,116,000",48
1978,Newfoundland and Labrador,Provincial Government,Other Institutions,"30,837,500",54
1979,Newfoundland and Labrador,Provincial Government,Other Institutions,"37,234,000",65
1980,Newfoundland and Labrador,Provincial Government,Other Institutions,"41,060,250",72
1981,Newfoundland and Labrador,Provincial Government,Other Institutions,"45,777,000",80
1982,Newfoundland and Labrador,Provincial Government,Other Institutions,"56,338,750",98
1983,Newfoundland and Labrador,Provincial Government,Other Institutions,"64,131,500",111
1984,Newfoundland and Labrador,Provincial Government,Other Institutions,"65,715,000",113
1985,Newfoundland and Labrador,Provincial Government,Other Institutions,"69,668,250",120
1986,Newfoundland and Labrador,Provincial Government,Other Institutions,"76,877,000",133
1987,Newfoundland and Labrador,Provincial Government,Other Institutions,"83,587,000",145
1988,Newfoundland and Labrador,Provincial Government,Other Institutions,"90,708,500",158
1989,Newfoundland and Labrador,Provincial Government,Other Institutions,"101,997,500",177
1990,Newfoundland and Labrador,Provincial Government,Other Institutions,"114,819,250",199
1991,Newfoundland and Labrador,Provincial Government,Other Institutions,"119,422,842",206
1992,Newfoundland and Labrador,Provincial Government,Other Institutions,"109,362,545",189
1993,Newfoundland and Labrador,Provincial Government,Other Institutions,"104,732,422",181
1994,Newfoundland and Labrador,Provincial Government,Other Institutions,"105,205,020",183
1995,Newfoundland and Labrador,Provincial Government,Other Institutions,"133,584,748",235
1996,Newfoundland and Labrador,Provincial Government,Other Institutions,"172,124,311",308
1997,Newfoundland and Labrador,Provincial Government,Other Institutions,"215,421,617",391
1998,Newfoundland and Labrador,Provincial Government,Other Institutions,"227,563,364",422
1999,Newfoundland and Labrador,Provincial Government,Other Institutions,"228,395,297",428
2000,Newfoundland and Labrador,Provincial Government,Other Institutions,"244,611,418",463
2001,Newfoundland and Labrador,Provincial Government,Other Institutions,"264,207,144",506
2002,Newfoundland and Labrador,Provincial Government,Other Institutions,"275,417,968",530
2003,Newfoundland and Labrador,Provincial Government,Other Institutions,"280,344,160",541
2004,Newfoundland and Labrador,Provincial Government,Other Institutions,"281,203,194",543
2005,Newfoundland and Labrador,Provincial Government,Other Institutions,"293,182,429",570
2006,Newfoundland and Labrador,Provincial Government,Other Institutions,"299,699,238",587
2007,Newfoundland and Labrador,Provincial Government,Other Institutions,"314,582,454",618
2008,Newfoundland and Labrador,Provincial Government,Other Institutions,"347,992,932",680
2009,Newfoundland and Labrador,Provincial Government,Other Institutions,"364,791,246",706
2010,Newfoundland and Labrador,Provincial Government,Other Institutions,"376,000,921",720
2011,Newfoundland and Labrador,Provincial Government,Other Institutions,"385,124,229",734
2012,Newfoundland and Labrador,Provincial Government,Other Institutions,"386,081,936",734
2013,Newfoundland and Labrador,Provincial Government,Other Institutions,"385,144,368",731
2014,Newfoundland and Labrador,Provincial Government,Other Institutions,"406,540,292",770
2015,Newfoundland and Labrador,Provincial Government,Other Institutions,"430,560,774",815
2016,Newfoundland and Labrador,Provincial Government,Other Institutions,"445,545,575",842
2017,Newfoundland and Labrador,Provincial Government,Other Institutions,"453,690,647",858
2018,Newfoundland and Labrador,Provincial Government,Other Institutions,"459,274,584",874
2019,Newfoundland and Labrador,Provincial Government,Other Institutions,"450,152,973",862
1975,Newfoundland and Labrador,Provincial Government,Physicians,"25,985,000",47
1976,Newfoundland and Labrador,Provincial Government,Physicians,"29,922,750",53
1977,Newfoundland and Labrador,Provincial Government,Physicians,"31,747,250",56
1978,Newfoundland and Labrador,Provincial Government,Physicians,"33,186,500",58
1979,Newfoundland and Labrador,Provincial Government,Physicians,"36,860,000",65
1980,Newfoundland and Labrador,Provincial Government,Physicians,"43,725,750",76
1981,Newfoundland and Labrador,Provincial Government,Physicians,"50,121,250",87
1982,Newfoundland and Labrador,Provincial Government,Physicians,"58,756,500",102
1983,Newfoundland and Labrador,Provincial Government,Physicians,"65,839,000",114
1984,Newfoundland and Labrador,Provincial Government,Physicians,"73,202,750",126
1985,Newfoundland and Labrador,Provincial Government,Physicians,"77,375,250",134
1986,Newfoundland and Labrador,Provincial Government,Physicians,"83,574,500",145
1987,Newfoundland and Labrador,Provincial Government,Physicians,"92,713,500",161
1988,Newfoundland and Labrador,Provincial Government,Physicians,"103,110,000",179
1989,Newfoundland and Labrador,Provincial Government,Physicians,"112,440,000",195
1990,Newfoundland and Labrador,Provincial Government,Physicians,"123,598,500",214
1991,Newfoundland and Labrador,Provincial Government,Physicians,"126,872,250",219
1992,Newfoundland and Labrador,Provincial Government,Physicians,"130,541,750",225
1993,Newfoundland and Labrador,Provincial Government,Physicians,"132,178,250",228
1994,Newfoundland and Labrador,Provincial Government,Physicians,"134,915,697",235
1995,Newfoundland and Labrador,Provincial Government,Physicians,"138,177,832",244
1996,Newfoundland and Labrador,Provincial Government,Physicians,"139,848,531",250
1997,Newfoundland and Labrador,Provincial Government,Physicians,"150,211,072",273
1998,Newfoundland and Labrador,Provincial Government,Physicians,"158,913,364",294
1999,Newfoundland and Labrador,Provincial Government,Physicians,"167,660,399",314
2000,Newfoundland and Labrador,Provincial Government,Physicians,"178,464,575",338
2001,Newfoundland and Labrador,Provincial Government,Physicians,"188,013,706",360
2002,Newfoundland and Labrador,Provincial Government,Physicians,"197,504,730",380
2003,Newfoundland and Labrador,Provincial Government,Physicians,"243,499,388",470
2004,Newfoundland and Labrador,Provincial Government,Physicians,"265,519,358",513
2005,Newfoundland and Labrador,Provincial Government,Physicians,"275,363,410",535
2006,Newfoundland and Labrador,Provincial Government,Physicians,"284,151,155",557
2007,Newfoundland and Labrador,Provincial Government,Physicians,"294,742,017",579
2008,Newfoundland and Labrador,Provincial Government,Physicians,"312,065,225",610
2009,Newfoundland and Labrador,Provincial Government,Physicians,"331,250,985",641
2010,Newfoundland and Labrador,Provincial Government,Physicians,"398,820,999",764
2011,Newfoundland and Labrador,Provincial Government,Physicians,"427,495,600",814
2012,Newfoundland and Labrador,Provincial Government,Physicians,"437,924,371",832
2013,Newfoundland and Labrador,Provincial Government,Physicians,"453,349,709",860
2014,Newfoundland and Labrador,Provincial Government,Physicians,"458,749,828",869
2015,Newfoundland and Labrador,Provincial Government,Physicians,"465,180,355",881
2016,Newfoundland and Labrador,Provincial Government,Physicians,"462,965,684",874
2017,Newfoundland and Labrador,Provincial Government,Physicians,"491,666,932",930
2018,Newfoundland and Labrador,Provincial Government,Physicians,"498,800,793",949
2019,Newfoundland and Labrador,Provincial Government,Physicians,"496,206,977",950
1975,Newfoundland and Labrador,Provincial Government,Other Professionals,"2,449,250",4
1976,Newfoundland and Labrador,Provincial Government,Other Professionals,"2,929,750",5
1977,Newfoundland and Labrador,Provincial Government,Other Professionals,"3,228,500",6
1978,Newfoundland and Labrador,Provincial Government,Other Professionals,"4,146,750",7
1979,Newfoundland and Labrador,Provincial Government,Other Professionals,"4,593,750",8
1980,Newfoundland and Labrador,Provincial Government,Other Professionals,"5,177,500",9
1981,Newfoundland and Labrador,Provincial Government,Other Professionals,"6,851,750",12
1982,Newfoundland and Labrador,Provincial Government,Other Professionals,"8,878,000",15
1983,Newfoundland and Labrador,Provincial Government,Other Professionals,"9,508,500",16
1984,Newfoundland and Labrador,Provincial Government,Other Professionals,"9,331,500",16
1985,Newfoundland and Labrador,Provincial Government,Other Professionals,"9,418,750",16
1986,Newfoundland and Labrador,Provincial Government,Other Professionals,"9,057,250",16
1987,Newfoundland and Labrador,Provincial Government,Other Professionals,"9,416,250",16
1988,Newfoundland and Labrador,Provincial Government,Other Professionals,"9,984,750",17
1989,Newfoundland and Labrador,Provincial Government,Other Professionals,"9,969,750",17
1990,Newfoundland and Labrador,Provincial Government,Other Professionals,"10,361,000",18
1991,Newfoundland and Labrador,Provincial Government,Other Professionals,"8,655,500",15
1992,Newfoundland and Labrador,Provincial Government,Other Professionals,"7,112,500",12
1993,Newfoundland and Labrador,Provincial Government,Other Professionals,"6,336,000",11
1994,Newfoundland and Labrador,Provincial Government,Other Professionals,"6,198,709",11
1995,Newfoundland and Labrador,Provincial Government,Other Professionals,"6,135,347",11
1996,Newfoundland and Labrador,Provincial Government,Other Professionals,"5,538,135",10
1997,Newfoundland and Labrador,Provincial Government,Other Professionals,"5,511,084",10
1998,Newfoundland and Labrador,Provincial Government,Other Professionals,"5,783,576",11
1999,Newfoundland and Labrador,Provincial Government,Other Professionals,"5,697,637",11
2000,Newfoundland and Labrador,Provincial Government,Other Professionals,"5,593,874",11
2001,Newfoundland and Labrador,Provincial Government,Other Professionals,"5,369,114",10
2002,Newfoundland and Labrador,Provincial Government,Other Professionals,"5,171,973",10
2003,Newfoundland and Labrador,Provincial Government,Other Professionals,"4,975,956",10
2004,Newfoundland and Labrador,Provincial Government,Other Professionals,"4,689,641",9
2005,Newfoundland and Labrador,Provincial Government,Other Professionals,"4,369,145",8
2006,Newfoundland and Labrador,Provincial Government,Other Professionals,"4,342,004",9
2007,Newfoundland and Labrador,Provincial Government,Other Professionals,"5,533,444",11
2008,Newfoundland and Labrador,Provincial Government,Other Professionals,"6,794,376",13
2009,Newfoundland and Labrador,Provincial Government,Other Professionals,"7,016,785",14
2010,Newfoundland and Labrador,Provincial Government,Other Professionals,"7,792,430",15
2011,Newfoundland and Labrador,Provincial Government,Other Professionals,"9,859,194",19
2012,Newfoundland and Labrador,Provincial Government,Other Professionals,"23,800,917",45
2013,Newfoundland and Labrador,Provincial Government,Other Professionals,"15,398,310",29
2014,Newfoundland and Labrador,Provincial Government,Other Professionals,"12,502,147",24
2015,Newfoundland and Labrador,Provincial Government,Other Professionals,"13,820,673",26
2016,Newfoundland and Labrador,Provincial Government,Other Professionals,"13,627,297",26
2017,Newfoundland and Labrador,Provincial Government,Other Professionals,"13,202,889",25
2018,Newfoundland and Labrador,Provincial Government,Other Professionals,"13,082,312",25
2019,Newfoundland and Labrador,Provincial Government,Other Professionals,"12,780,814",24
1975,Newfoundland and Labrador,Provincial Government,Drugs,"3,316,000",6
1976,Newfoundland and Labrador,Provincial Government,Drugs,"3,448,500",6
1977,Newfoundland and Labrador,Provincial Government,Drugs,"3,685,000",7
1978,Newfoundland and Labrador,Provincial Government,Drugs,"4,318,500",8
1979,Newfoundland and Labrador,Provincial Government,Drugs,"5,063,250",9
1980,Newfoundland and Labrador,Provincial Government,Drugs,"6,918,750",12
1981,Newfoundland and Labrador,Provincial Government,Drugs,"8,819,000",15
1982,Newfoundland and Labrador,Provincial Government,Drugs,"11,061,000",19
1983,Newfoundland and Labrador,Provincial Government,Drugs,"13,327,750",23
1984,Newfoundland and Labrador,Provincial Government,Drugs,"15,437,250",27
1985,Newfoundland and Labrador,Provincial Government,Drugs,"17,988,250",31
1986,Newfoundland and Labrador,Provincial Government,Drugs,"21,440,250",37
1987,Newfoundland and Labrador,Provincial Government,Drugs,"24,732,000",43
1988,Newfoundland and Labrador,Provincial Government,Drugs,"28,174,500",49
1989,Newfoundland and Labrador,Provincial Government,Drugs,"31,152,250",54
1990,Newfoundland and Labrador,Provincial Government,Drugs,"35,324,750",61
1991,Newfoundland and Labrador,Provincial Government,Drugs,"40,308,750",70
1992,Newfoundland and Labrador,Provincial Government,Drugs,"43,855,750",76
1993,Newfoundland and Labrador,Provincial Government,Drugs,"47,766,000",82
1994,Newfoundland and Labrador,Provincial Government,Drugs,"52,097,654",91
1995,Newfoundland and Labrador,Provincial Government,Drugs,"54,502,140",96
1996,Newfoundland and Labrador,Provincial Government,Drugs,"54,501,982",97
1997,Newfoundland and Labrador,Provincial Government,Drugs,"53,612,494",97
1998,Newfoundland and Labrador,Provincial Government,Drugs,"56,052,995",104
1999,Newfoundland and Labrador,Provincial Government,Drugs,"60,004,197",113
2000,Newfoundland and Labrador,Provincial Government,Drugs,"68,032,920",129
2001,Newfoundland and Labrador,Provincial Government,Drugs,"77,884,653",149
2002,Newfoundland and Labrador,Provincial Government,Drugs,"86,879,488",167
2003,Newfoundland and Labrador,Provincial Government,Drugs,"96,049,290",185
2004,Newfoundland and Labrador,Provincial Government,Drugs,"101,723,584",197
2005,Newfoundland and Labrador,Provincial Government,Drugs,"106,002,196",206
2006,Newfoundland and Labrador,Provincial Government,Drugs,"108,139,408",212
2007,Newfoundland and Labrador,Provincial Government,Drugs,"116,946,468",230
2008,Newfoundland and Labrador,Provincial Government,Drugs,"122,290,607",239
2009,Newfoundland and Labrador,Provincial Government,Drugs,"128,689,904",249
2010,Newfoundland and Labrador,Provincial Government,Drugs,"135,938,942",260
2011,Newfoundland and Labrador,Provincial Government,Drugs,"145,706,911",278
2012,Newfoundland and Labrador,Provincial Government,Drugs,"151,436,776",288
2013,Newfoundland and Labrador,Provincial Government,Drugs,"146,216,900",277
2014,Newfoundland and Labrador,Provincial Government,Drugs,"142,571,224",270
2015,Newfoundland and Labrador,Provincial Government,Drugs,"147,852,641",280
2016,Newfoundland and Labrador,Provincial Government,Drugs,"145,421,061",275
2017,Newfoundland and Labrador,Provincial Government,Drugs,"147,483,530",279
2018,Newfoundland and Labrador,Provincial Government,Drugs,"151,417,304",288
2019,Newfoundland and Labrador,Provincial Government,Drugs,"150,995,200",289
1975,Newfoundland and Labrador,Provincial Government,Capital,"28,687,250",52
1976,Newfoundland and Labrador,Provincial Government,Capital,"22,458,000",40
1977,Newfoundland and Labrador,Provincial Government,Capital,"15,081,250",27
1978,Newfoundland and Labrador,Provincial Government,Capital,"11,960,000",21
1979,Newfoundland and Labrador,Provincial Government,Capital,"12,017,000",21
1980,Newfoundland and Labrador,Provincial Government,Capital,"10,077,500",18
1981,Newfoundland and Labrador,Provincial Government,Capital,"11,560,500",20
1982,Newfoundland and Labrador,Provincial Government,Capital,"17,076,500",30
1983,Newfoundland and Labrador,Provincial Government,Capital,"22,568,500",39
1984,Newfoundland and Labrador,Provincial Government,Capital,"20,621,000",36
1985,Newfoundland and Labrador,Provincial Government,Capital,"23,949,000",41
1986,Newfoundland and Labrador,Provincial Government,Capital,"28,158,750",49
1987,Newfoundland and Labrador,Provincial Government,Capital,"30,694,250",53
1988,Newfoundland and Labrador,Provincial Government,Capital,"12,423,538",22
1989,Newfoundland and Labrador,Provincial Government,Capital,"10,917,655",19
1990,Newfoundland and Labrador,Provincial Government,Capital,"17,600,013",30
1991,Newfoundland and Labrador,Provincial Government,Capital,"12,113,989",21
1992,Newfoundland and Labrador,Provincial Government,Capital,"19,068,174",33
1993,Newfoundland and Labrador,Provincial Government,Capital,"20,240,432",35
1994,Newfoundland and Labrador,Provincial Government,Capital,"19,881,363",35
1995,Newfoundland and Labrador,Provincial Government,Capital,"20,126,255",35
1996,Newfoundland and Labrador,Provincial Government,Capital,"11,261,661",20
1997,Newfoundland and Labrador,Provincial Government,Capital,"18,237,812",33
1998,Newfoundland and Labrador,Provincial Government,Capital,"18,100,000",34
1999,Newfoundland and Labrador,Provincial Government,Capital,"114,028,393",214
2000,Newfoundland and Labrador,Provincial Government,Capital,"98,500,000",187
2001,Newfoundland and Labrador,Provincial Government,Capital,"72,000,000",138
2002,Newfoundland and Labrador,Provincial Government,Capital,"66,300,000",128
2003,Newfoundland and Labrador,Provincial Government,Capital,"52,500,000",101
2004,Newfoundland and Labrador,Provincial Government,Capital,"46,600,000",90
2005,Newfoundland and Labrador,Provincial Government,Capital,"31,800,000",62
2006,Newfoundland and Labrador,Provincial Government,Capital,"44,800,000",88
2007,Newfoundland and Labrador,Provincial Government,Capital,"96,800,000",190
2008,Newfoundland and Labrador,Provincial Government,Capital,"86,000,000",168
2009,Newfoundland and Labrador,Provincial Government,Capital,"123,600,000",239
2010,Newfoundland and Labrador,Provincial Government,Capital,"146,000,000",280
2011,Newfoundland and Labrador,Provincial Government,Capital,"170,736,923",325
2012,Newfoundland and Labrador,Provincial Government,Capital,"194,696,864",370
2013,Newfoundland and Labrador,Provincial Government,Capital,"171,400,000",325
2014,Newfoundland and Labrador,Provincial Government,Capital,"122,469,515",232
2015,Newfoundland and Labrador,Provincial Government,Capital,"115,566,500",219
2016,Newfoundland and Labrador,Provincial Government,Capital,"86,844,515",164
2017,Newfoundland and Labrador,Provincial Government,Capital,"68,509,999",130
2018,Newfoundland and Labrador,Provincial Government,Capital,"112,299,564",214
2019,Newfoundland and Labrador,Provincial Government,Capital,"132,296,652",253
1975,Newfoundland and Labrador,Provincial Government,Public Health,"5,871,750",11
1976,Newfoundland and Labrador,Provincial Government,Public Health,"6,642,000",12
1977,Newfoundland and Labrador,Provincial Government,Public Health,"5,472,000",10
1978,Newfoundland and Labrador,Provincial Government,Public Health,"6,760,250",12
1979,Newfoundland and Labrador,Provincial Government,Public Health,"8,338,500",15
1980,Newfoundland and Labrador,Provincial Government,Public Health,"9,548,500",17
1981,Newfoundland and Labrador,Provincial Government,Public Health,"12,157,750",21
1982,Newfoundland and Labrador,Provincial Government,Public Health,"14,131,500",25
1983,Newfoundland and Labrador,Provincial Government,Public Health,"14,613,750",25
1984,Newfoundland and Labrador,Provincial Government,Public Health,"14,283,250",25
1985,Newfoundland and Labrador,Provincial Government,Public Health,"15,726,250",27
1986,Newfoundland and Labrador,Provincial Government,Public Health,"16,665,205",29
1987,Newfoundland and Labrador,Provincial Government,Public Health,"18,174,770",32
1988,Newfoundland and Labrador,Provincial Government,Public Health,"19,935,606",35
1989,Newfoundland and Labrador,Provincial Government,Public Health,"21,165,526",37
1990,Newfoundland and Labrador,Provincial Government,Public Health,"23,266,477",40
1991,Newfoundland and Labrador,Provincial Government,Public Health,"23,197,102",40
1992,Newfoundland and Labrador,Provincial Government,Public Health,"23,098,230",40
1993,Newfoundland and Labrador,Provincial Government,Public Health,"25,664,519",44
1994,Newfoundland and Labrador,Provincial Government,Public Health,"28,500,353",50
1995,Newfoundland and Labrador,Provincial Government,Public Health,"30,803,358",54
1996,Newfoundland and Labrador,Provincial Government,Public Health,"35,741,130",64
1997,Newfoundland and Labrador,Provincial Government,Public Health,"41,777,831",76
1998,Newfoundland and Labrador,Provincial Government,Public Health,"51,436,431",95
1999,Newfoundland and Labrador,Provincial Government,Public Health,"54,634,971",102
2000,Newfoundland and Labrador,Provincial Government,Public Health,"55,773,538",106
2001,Newfoundland and Labrador,Provincial Government,Public Health,"61,259,496",117
2002,Newfoundland and Labrador,Provincial Government,Public Health,"73,684,355",142
2003,Newfoundland and Labrador,Provincial Government,Public Health,"77,271,338",149
2004,Newfoundland and Labrador,Provincial Government,Public Health,"80,845,770",156
2005,Newfoundland and Labrador,Provincial Government,Public Health,"84,048,061",163
2006,Newfoundland and Labrador,Provincial Government,Public Health,"75,159,990",147
2007,Newfoundland and Labrador,Provincial Government,Public Health,"70,441,931",138
2008,Newfoundland and Labrador,Provincial Government,Public Health,"76,824,368",150
2009,Newfoundland and Labrador,Provincial Government,Public Health,"85,560,930",166
2010,Newfoundland and Labrador,Provincial Government,Public Health,"85,107,482",163
2011,Newfoundland and Labrador,Provincial Government,Public Health,"91,230,484",174
2012,Newfoundland and Labrador,Provincial Government,Public Health,"98,728,138",188
2013,Newfoundland and Labrador,Provincial Government,Public Health,"102,290,694",194
2014,Newfoundland and Labrador,Provincial Government,Public Health,"106,351,529",201
2015,Newfoundland and Labrador,Provincial Government,Public Health,"114,237,288",216
2016,Newfoundland and Labrador,Provincial Government,Public Health,"119,344,714",225
2017,Newfoundland and Labrador,Provincial Government,Public Health,"121,468,503",230
2018,Newfoundland and Labrador,Provincial Government,Public Health,"126,520,050",241
2019,Newfoundland and Labrador,Provincial Government,Public Health,"132,453,627",254
1975,Newfoundland and Labrador,Provincial Government,Administration,"2,411,250",4
1976,Newfoundland and Labrador,Provincial Government,Administration,"2,714,500",5
1977,Newfoundland and Labrador,Provincial Government,Administration,"2,810,500",5
1978,Newfoundland and Labrador,Provincial Government,Administration,"2,977,250",5
1979,Newfoundland and Labrador,Provincial Government,Administration,"3,324,500",6
1980,Newfoundland and Labrador,Provincial Government,Administration,"3,830,250",7
1981,Newfoundland and Labrador,Provincial Government,Administration,"4,442,250",8
1982,Newfoundland and Labrador,Provincial Government,Administration,"5,975,750",10
1983,Newfoundland and Labrador,Provincial Government,Administration,"6,149,750",11
1984,Newfoundland and Labrador,Provincial Government,Administration,"5,526,250",10
1985,Newfoundland and Labrador,Provincial Government,Administration,"6,259,000",11
1986,Newfoundland and Labrador,Provincial Government,Administration,"7,183,750",12
1987,Newfoundland and Labrador,Provincial Government,Administration,"8,792,750",15
1988,Newfoundland and Labrador,Provincial Government,Administration,"9,542,750",17
1989,Newfoundland and Labrador,Provincial Government,Administration,"10,771,750",19
1990,Newfoundland and Labrador,Provincial Government,Administration,"11,564,000",20
1991,Newfoundland and Labrador,Provincial Government,Administration,"11,222,000",19
1992,Newfoundland and Labrador,Provincial Government,Administration,"12,253,000",21
1993,Newfoundland and Labrador,Provincial Government,Administration,"11,576,000",20
1994,Newfoundland and Labrador,Provincial Government,Administration,"11,835,113",21
1995,Newfoundland and Labrador,Provincial Government,Administration,"11,476,588",20
1996,Newfoundland and Labrador,Provincial Government,Administration,"11,430,445",20
1997,Newfoundland and Labrador,Provincial Government,Administration,"10,366,513",19
1998,Newfoundland and Labrador,Provincial Government,Administration,"11,002,845",20
1999,Newfoundland and Labrador,Provincial Government,Administration,"15,112,312",28
2000,Newfoundland and Labrador,Provincial Government,Administration,"17,495,293",33
2001,Newfoundland and Labrador,Provincial Government,Administration,"19,913,664",38
2002,Newfoundland and Labrador,Provincial Government,Administration,"21,039,503",41
2003,Newfoundland and Labrador,Provincial Government,Administration,"19,040,464",37
2004,Newfoundland and Labrador,Provincial Government,Administration,"17,369,460",34
2005,Newfoundland and Labrador,Provincial Government,Administration,"17,805,461",35
2006,Newfoundland and Labrador,Provincial Government,Administration,"18,603,472",36
2007,Newfoundland and Labrador,Provincial Government,Administration,"21,312,602",42
2008,Newfoundland and Labrador,Provincial Government,Administration,"28,952,348",57
2009,Newfoundland and Labrador,Provincial Government,Administration,"32,309,847",63
2010,Newfoundland and Labrador,Provincial Government,Administration,"30,839,890",59
2011,Newfoundland and Labrador,Provincial Government,Administration,"34,232,786",65
2012,Newfoundland and Labrador,Provincial Government,Administration,"31,909,937",61
2013,Newfoundland and Labrador,Provincial Government,Administration,"28,938,514",55
2014,Newfoundland and Labrador,Provincial Government,Administration,"24,450,167",46
2015,Newfoundland and Labrador,Provincial Government,Administration,"24,206,314",46
2016,Newfoundland and Labrador,Provincial Government,Administration,"23,447,986",44
2017,Newfoundland and Labrador,Provincial Government,Administration,"27,955,458",53
2018,Newfoundland and Labrador,Provincial Government,Administration,"31,115,459",59
2019,Newfoundland and Labrador,Provincial Government,Administration,"31,246,153",60
1975,Newfoundland and Labrador,Provincial Government,Other Health Spending,"5,152,750",9
1976,Newfoundland and Labrador,Provincial Government,Other Health Spending,"6,319,000",11
1977,Newfoundland and Labrador,Provincial Government,Other Health Spending,"7,266,500",13
1978,Newfoundland and Labrador,Provincial Government,Other Health Spending,"7,873,750",14
1979,Newfoundland and Labrador,Provincial Government,Other Health Spending,"8,666,000",15
1980,Newfoundland and Labrador,Provincial Government,Other Health Spending,"10,147,750",18
1981,Newfoundland and Labrador,Provincial Government,Other Health Spending,"11,905,250",21
1982,Newfoundland and Labrador,Provincial Government,Other Health Spending,"14,922,000",26
1983,Newfoundland and Labrador,Provincial Government,Other Health Spending,"16,163,750",28
1984,Newfoundland and Labrador,Provincial Government,Other Health Spending,"17,119,250",30
1985,Newfoundland and Labrador,Provincial Government,Other Health Spending,"17,388,250",30
1986,Newfoundland and Labrador,Provincial Government,Other Health Spending,"18,629,795",32
1987,Newfoundland and Labrador,Provincial Government,Other Health Spending,"20,264,730",35
1988,Newfoundland and Labrador,Provincial Government,Other Health Spending,"22,662,144",39
1989,Newfoundland and Labrador,Provincial Government,Other Health Spending,"25,435,224",44
1990,Newfoundland and Labrador,Provincial Government,Other Health Spending,"27,946,023",48
1991,Newfoundland and Labrador,Provincial Government,Other Health Spending,"26,922,898",46
1992,Newfoundland and Labrador,Provincial Government,Other Health Spending,"24,691,512",43
1993,Newfoundland and Labrador,Provincial Government,Other Health Spending,"23,680,336",41
